epoch,accuracy,loss,val_accuracy,val_loss
0,0.28727802634239197,3.429020643234253,0.6788194179534912,1.7434521913528442
1,0.6342130899429321,1.5959144830703735,0.7648809552192688,0.9906140565872192
2,0.6987959146499634,1.1782588958740234,0.7827380895614624,0.8072507381439209
3,0.7136341333389282,1.0361037254333496,0.7958829402923584,0.7465488314628601
4,0.7295061945915222,0.9619058966636658,0.7966269850730896,0.7111221551895142
5,0.7340671420097351,0.9249168634414673,0.8013392686843872,0.6891502737998962
6,0.7389929294586182,0.8963235020637512,0.799355149269104,0.678531289100647
7,0.7462904453277588,0.8730902671813965,0.8003472089767456,0.6718462705612183
8,0.7520676255226135,0.8471791744232178,0.807539701461792,0.660514235496521
9,0.7540744543075562,0.8212628960609436,0.8105158805847168,0.6579749584197998
10,0.760581374168396,0.8031437397003174,0.8065476417541504,0.6550616025924683
11,0.7628922462463379,0.7931461334228516,0.810019850730896,0.6499584913253784
12,0.7641692757606506,0.7828319668769836,0.8105158805847168,0.6466074585914612
13,0.7693383693695068,0.7661780118942261,0.8110119104385376,0.6484824419021606
14,0.7675139904022217,0.7701708078384399,0.811259925365448,0.6466145515441895
15,0.7735344171524048,0.7525805234909058,0.811259925365448,0.6471520066261292
